level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	6400	7200	-1	
2	1	1	0	0	0	239	383	6161	6817	-1	
3	1	1	1	0	0	239	360	6161	6840	-1	
4	1	1	1	1	0	386	383	4620	102	-1	
5	1	1	1	1	1	386	394	974	91	22.833878	oe
5	1	1	1	1	2	1461	383	126	57	3.425224	3J3
5	1	1	1	1	3	1709	383	131	59	0.000000	3P3
5	1	1	1	1	4	4977	431	29	3	12.713242	:
4	1	1	1	2	0	271	466	2282	118	-1	
5	1	1	1	2	1	271	474	14	110	96.811867	|
5	1	1	1	2	2	327	466	295	67	96.711967	POWER
5	1	1	1	2	3	650	466	310	67	96.712540	SUPPLY
5	1	1	1	2	4	1640	516	43	57	22.876854	¢|>
5	1	1	1	2	5	1888	479	137	57	22.876854	RED
5	1	1	1	2	6	2259	479	158	57	1.048157	__SOL.
5	1	1	1	2	7	2453	479	100	57	96.017357	B+
4	1	1	1	3	0	271	578	2273	152	-1	
5	1	1	1	3	1	271	610	106	120	42.051651	|
5	1	1	1	3	2	1640	612	39	57	87.481125	3
5	1	1	1	3	3	1885	578	139	56	96.981201	BLK
5	1	1	1	3	4	2259	578	285	56	96.823357	GROUND
4	1	1	1	4	0	378	867	5500	187	-1	
5	1	1	1	4	1	378	867	324	187	7.352608	—_—_
5	1	1	1	4	2	779	867	156	187	34.843582	—_
5	1	1	1	4	3	997	970	94	16	68.004028	—
5	1	1	1	4	4	1168	969	188	81	66.133011	—,
5	1	1	1	4	5	1448	900	134	57	11.591324	2UI1
5	1	1	1	4	6	1714	900	134	57	0.000000	2PI
5	1	1	1	4	7	2984	908	136	57	13.069916	8P3
5	1	1	1	4	8	3248	908	134	60	13.069916	 8u3
5	1	1	1	4	9	5876	988	2	3	56.649708	|
4	1	1	1	5	0	265	963	4133	163	-1	
5	1	1	1	5	1	265	963	41	163	79.960464	[
5	1	1	1	5	2	346	967	286	155	96.330658	DRIVER
5	1	1	1	5	3	666	1028	289	68	96.049385	BOARD
5	1	1	1	5	4	1885	1015	313	57	78.281441	GRY-GRN_
5	1	1	1	5	5	2256	1017	161	57	94.996521	SOL.
5	1	1	1	5	6	2461	1018	41	56	94.996521	5
5	1	1	1	5	7	4396	1063	2	3	53.002640	|
4	1	1	1	6	0	1082	1053	2125	154	-1	
5	1	1	1	6	1	1082	1053	132	153	30.663063	Oo)
5	1	1	1	6	2	1634	1060	44	142	0.000000	s
5	1	1	1	6	3	1882	1108	316	60	12.169487	GRY-YEL.
5	1	1	1	6	4	2256	1111	158	57	95.677391	SOL.
5	1	1	1	6	5	2453	1111	49	56	96.714302	4
5	1	1	1	6	6	2851	1093	165	79	9.129288	|
5	1	1	1	6	7	3160	1063	47	144	31.038986	:
4	1	1	1	7	0	1088	1271	4268	112	-1	
5	1	1	1	7	1	1088	1313	118	60	73.134079	QI7
5	1	1	1	7	2	1634	1316	41	56	65.383453	5
5	1	1	1	7	3	1882	1284	324	57	16.378929	|$|_GRY-RED
5	1	1	1	7	4	2261	1284	156	60	95.572502	SOL.
5	1	1	1	7	5	2461	1284	41	60	96.804489	2
5	1	1	1	7	6	2851	1271	168	77	34.656479	[|
5	1	1	1	7	7	3166	1327	40	56	42.140793	els
5	1	1	1	7	8	4654	1340	3	3	84.332901	|
5	1	1	1	7	9	5348	1340	8	6	27.300575	,
4	1	1	1	8	0	266	1337	2924	158	-1	
5	1	1	1	8	1	266	1337	10	158	94.938148	|
5	1	1	1	8	2	1085	1412	113	59	22.594177	OI
5	1	1	1	8	3	1632	1415	48	56	64.677574	4
5	1	1	1	8	4	1880	1375	323	56	24.827187	|>GRY-BRN_
5	1	1	1	8	5	2261	1377	153	57	93.468712	SOL.
5	1	1	1	8	6	2477	1377	12	56	93.468712	|
5	1	1	1	8	7	2851	1357	168	84	33.044441	LT
5	1	1	1	8	8	3001	1346	99	132	29.234253	te
4	1	1	1	9	0	1882	1450	1276	82	-1	
5	1	1	1	9	1	1882	1471	313	57	91.567802	GRY-BLK
5	1	1	1	9	2	2259	1471	158	57	95.898186	SOL.
5	1	1	1	9	3	2462	1471	43	57	96.880508	8
5	1	1	1	9	4	2849	1450	309	82	27.832405	Sibi
4	1	1	1	10	0	1080	1503	2123	62	-1	
5	1	1	1	10	1	1080	1503	134	56	90.511497	Q29
5	1	1	1	10	2	3160	1508	43	57	91.979614	8
4	1	1	1	11	0	266	1526	2938	148	-1	
5	1	1	1	11	1	266	1526	10	148	94.526260	|
5	1	1	1	11	2	477	1570	3	2	0.000000	:
5	1	1	1	11	3	1082	1588	134	59	40.685791	027
5	1	1	1	11	4	1629	1590	43	57	44.459465	>
5	1	1	1	11	5	1878	1559	293	56	80.569458	GRY-VIO
5	1	1	1	11	6	2256	1561	160	57	78.671768	SOL.
5	1	1	1	11	7	2462	1561	43	57	96.792732	7
5	1	1	1	11	8	2849	1540	170	83	40.726871	Lt
5	1	1	1	11	9	3158	1599	46	56	44.118267	lls
